alias,canonical,axis
purity,tazkiyah,theme
self-purification,tazkiyah,theme
tahara,tazkiyah,theme
tazkiyah,tazkiyah,theme
al-haqq,truth,theme
bil-haqq,truth,theme
clarity,truth,theme
haqq,truth,theme
integrity,truth,theme
sidq,truth,theme
tasdiq,truth,theme
truth,truth,theme
truthfulness,truth,theme
allegiance,wilayah,theme
awliya,wilayah,theme
baraa,wilayah,theme
disavowal,wilayah,theme
dissociation,wilayah,theme
following,wilayah,theme
ittiba,wilayah,theme
loyalty,wilayah,theme
mawla,wilayah,theme
walaya,wilayah,theme
wali,wilayah,theme
wilayah,wilayah,theme
divine-wisdom,wisdom,theme
hikmah,wisdom,theme
wisdom,wisdom,theme
